city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips,id
Baltimore,Baltimore,MD,Maryland,24510,Baltimore (city),39.3051,-76.6144,2181206,614664,2931,polygon,TRUE,America/New_York,21218 21211 21210 21213 21212 21215 21214 21217 21216 21231 21230 21239 21251 21209 21202 21206 21207 21205 21226 21201 21223 21224 21225 21229 21203 21233 21235 21241 21263 21264 21270 21273 21275 21278 21279 21280 21281 21282 21284 21285 21287 21288 21289 21290 21297 21298,1840001592
Hagerstown,Hagerstown,MD,Maryland,24043,Washington,39.6401,-77.7217,186377,40452,1284,polygon,TRUE,America/New_York,21742 21740 21741 21747 21749,1840005613
Frederick,Frederick,MD,Maryland,24021,Frederick,39.4334,-77.4154,152047,70060,1179,polygon,TRUE,America/New_York,21705 21703 21702 21701 21709,1840005710
Salisbury,Salisbury,MD,Maryland,24045,Wicomico,38.3755,-75.5883,107026,33114,955,polygon,TRUE,America/New_York,21802 21804 21801 21803,1840006219
Gaithersburg,Gaithersburg,MD,Maryland,24031,Montgomery,39.1347,-77.213,67776,67776,2553,polygon,TRUE,America/New_York,20878 20899 20879 20877,1840005848
Boston,Boston,MA,Massachusetts,25025,Suffolk,42.3189,-71.0838,4556916,673184,5373,polygon,TRUE,America/New_York,02120 02121 02122 02124 02125 02126 02127 02128 02129 02210 02215 02467 02119 02118 02111 02110 02113 02115 02114 02116 02199 02134 02136 02135 02132 02131 02130 02203 02163 02152 02108 02109 02112 02117 02123 02133 02137 02196 02201 02204 02205 02206 02211 02212 02217 02222 02241 02266 02283 02284 02293 02297 02298,1840000455
Springfield,Springfield,MA,Massachusetts,25013,Hampden,42.1155,-72.5395,625300,154074,1866,polygon,TRUE,America/New_York,01151 01118 01119 01199 01129 01128 01107 01105 01104 01103 01109 01108 01101 01102 01111 01115 01138 01139 01144 01152,1840000466
Worcester,Worcester,MA,Massachusetts,25027,Worcester,42.2705,-71.8079,495856,184508,1906,polygon,TRUE,America/New_York,01604 01610 01608 01609 01602 01603 01605 01606 01607 01601 01613 01614 01615 01653 01655,1840000434
New Bedford,New Bedford,MA,Massachusetts,25005,Bristol,41.6697,-70.9428,149390,95032,1834,polygon,TRUE,America/New_York,02740 02744 02745 02746 02741 02742,1840003219
Leominster,Leominster,MA,Massachusetts,25027,Worcester,42.5209,-71.7717,119538,41663,558,polygon,TRUE,America/New_York,1453,1840000437
Detroit,Detroit,MI,Michigan,26163,Wayne,42.3834,-83.1024,3520589,672795,1872,polygon,TRUE,America/Detroit,48209 48208 48201 48207 48206 48205 48204 48203 48238 48239 48234 48235 48233 48202 48243 48214 48215 48216 48217 48210 48211 48212 48213 48219 48228 48224 48227 48226 48221 48223 48222 48231 48232 48244 48255 48260 48264 48265 48266 48267 48268 48269 48272 48275 48277 48278 48279 48288,1840003971
Grand Rapids,Grand Rapids,MI,Michigan,26081,Kent,42.9615,-85.6557,595467,196445,1707,polygon,TRUE,America/Detroit,49546 49506 49505 49507 49504 49503 49508 49501 49502 49510 49514 49515 49516 49518 49523 49530 49555 49560 49588 49599,1840002928
Flint,Flint,MI,Michigan,26049,Genesee,43.0235,-83.6921,338616,97386,1125,polygon,TRUE,America/Detroit,48553 48502 48551 48504 48505 48506 48507 48503 48501 48531 48550 48552 48555 48556 48557,1840002949
Ann Arbor,Ann Arbor,MI,Michigan,26161,Washtenaw,42.2757,-83.7312,324421,120782,1672,polygon,TRUE,America/Detroit,48103 48104 48105 48108 48109 48106 48107 48113,1840003172
Lansing,Lansing,MI,Michigan,26065,Ingham,42.7142,-84.5598,318278,116020,1144,polygon,TRUE,America/Detroit,48933 48915 48912 48911 48910 48921 48906 48901 48908 48909 48913 48916 48918 48919 48922 48924 48929 48930 48937 48951 48956 48980,1840003102
Minneapolis,Minneapolis,MN,Minnesota,27053,Hennepin,44.9635,-93.2679,2866604,413651,2957,polygon,TRUE,America/Chicago,55402 55409 55408 55407 55406 55405 55404 55403 55401 55417 55455 55430 55454 55418 55419 55410 55411 55412 55413 55414 55415 55416 55440 55458 55459 55460 55467 55470 55472 55473 55474 55478 55479 55480 55483 55484 55485 55486 55487 55488,1840007830
Saint Paul,Saint Paul,MN,Minnesota,27123,Ramsey,44.9477,-93.104,302398,302398,2246,polygon,TRUE,America/Chicago,55114 55117 55116 55119 55130 55155 55102 55103 55101 55106 55107 55104 55105 55108 55133 55144 55145 55146 55164 55165 55170 55172 55175 55188,1840008940
Duluth,Duluth,MN,Minnesota,27137,St. Louis,46.7797,-92.1334,120418,86293,492,polygon,TRUE,America/Chicago,55803 55802 55806 55805 55804 55808 55810 55811 55812 55807 55801 55815 55816,1840007685
Rochester,Rochester,MN,Minnesota,27109,Olmsted,44.0152,-92.4776,114976,114011,806,polygon,TRUE,America/Chicago,55902 55901 55906 55904 55905 55903,1840008987
Saint Cloud,Saint Cloud,MN,Minnesota,27145,Stearns,45.5339,-94.1718,113649,67641,652,polygon,TRUE,America/Chicago,56304 56301 56303 56302 56372 56393 56395 56396 56397 56398 56399,1840008881
Jackson,Jackson,MS,Mississippi,28049,Hinds,32.3163,-90.2124,342607,169148,588,polygon,TRUE,America/Chicago,39272 39206 39204 39203 39202 39201 39209 39269 39174 39211 39212 39213 39216 39217 39205 39207 39210 39215 39225 39236 39250 39271 39282 39283 39284 39286 39288 39289 39296 39298,1840014895
Gulfport,Gulfport,MS,Mississippi,28047,Harrison,30.4271,-89.0703,222131,72076,500,polygon,TRUE,America/Chicago,39501 39503 39507 39502 39505 39506,1840013947
Hattiesburg,Hattiesburg,MS,Mississippi,28035,Forrest,31.3073,-89.3169,81995,46926,340,polygon,TRUE,America/Chicago,39401 39402 39406 39403 39404 39407,1840013878
Southaven,Southaven,MS,Mississippi,28033,DeSoto,34.9514,-89.9787,53214,53214,497,polygon,TRUE,America/Chicago,38651 38671 38672,1840015519
Pascagoula,Pascagoula,MS,Mississippi,28059,Jackson,30.3665,-88.5507,49504,21981,551,polygon,TRUE,America/Chicago,39581 39567 39568 39569 39595,1840015018
Saint Louis,Saint Louis,MO,Missouri,29510,St. Louis (city),38.6358,-90.2451,2096990,311404,1940,polygon,TRUE,America/Chicago,63110 63111 63112 63113 63115 63116 63118 63120 63107 63106 63104 63103 63102 63101 63109 63108 63155 63139 63137 63143 63147 63145 63150 63151 63156 63157 63158 63160 63163 63164 63166 63167 63169 63171 63177 63178 63179 63180 63182 63188 63195 63197 63199,1840001651
Kansas City,Kansas City,MO,Missouri,29095,Jackson,39.1239,-94.5541,1590762,481420,590,polygon,TRUE,America/Chicago,64163 64164 64165 64167 64161 64053 64119 64118 64151 64153 64155 64154 64157 64156 64158 64108 64109 64102 64105 64101 64128 64124 64125 64126 64127 64120 64123 64129 64166 64192 64114 64117 64116 64111 64110 64113 64112 64132 64130 64146 64145 64149 64147 64106 64139 64138 64133 64131 64137 64136 64134 64121 64141 64144 64148 64162 64168 64170 64171 64179 64180 64184 64187 64188 64190 64191 64195 64196 64197 64198 64199 64999,1840008535
Springfield,Springfield,MO,Missouri,29077,Greene,37.1943,-93.2916,287124,167319,787,polygon,TRUE,America/Chicago,65810 65802 65803 65804 65806 65807 65809 65801 65805 65808 65814 65817 65890 65897 65898 65899,1840009904
Columbia,Columbia,MO,Missouri,29019,Boone,38.9475,-92.3263,138675,120612,721,polygon,TRUE,America/Chicago,65202 65203 65201 65215 65205 65211 65212 65216 65217 65218,1840007391
Independence,Independence,MO,Missouri,29095,Jackson,39.0871,-94.3503,117030,117030,580,polygon,TRUE,America/Chicago,64054 64055 64056 64057 64050 64052 64053 64015 64016 64051,1840008534
Billings,Billings,MT,Montana,30111,Yellowstone,45.7892,-108.5498,121550,110323,985,polygon,TRUE,America/Denver,59106 59105 59102 59101 59104 59107 59108 59115 59116 59117,1840018496
Missoula,Missoula,MT,Montana,30063,Missoula,46.8687,-114.0089,89017,72364,966,polygon,TRUE,America/Denver,59808 59803 59802 59801 59812,1840019840
Great Falls,Great Falls,MT,Montana,30013,Cascade,47.5016,-111.2993,65960,59178,1012,polygon,TRUE,America/Denver,59401 59405 59404,1840019839
Bozeman,Bozeman,MT,Montana,30031,Gallatin,45.6828,-111.0545,52391,45250,879,polygon,TRUE,America/Denver,59718 59715 59717 59719,1840018509
Helena,Helena,MT,Montana,30049,Lewis and Clark,46.5963,-112.0196,49812,31169,729,polygon,TRUE,America/Denver,59601 59602 59623 59624 59625 59626,1840019820
Omaha,Omaha,NE,Nebraska,31055,Douglas,41.2634,-96.0453,792463,446970,1295,polygon,TRUE,America/Chicago,68116 68118 68106 68107 68105 68108 68178 68111 68122 68127 68124 68110 68112 68114 68117 68022 68132 68144 68137 68135 68134 68131 68130 68102 68104 68164 68152 68154 68101 68103 68109 68119 68139 68145 68172 68175 68176 68179 68180 68182 68183 68198,1840009315
Lincoln,Lincoln,NE,Nebraska,31109,Lancaster,40.8102,-96.6808,280741,280364,1183,polygon,TRUE,America/Chicago,68528 68524 68526 68520 68521 68522 68516 68510 68512 68506 68507 68504 68505 68502 68503 68508 68501 68509 68529 68542 68544 68583 68588,1840009357
